"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&rowsPerPage%3D75%26queryText%3D%28%22software+architectur*%22+AND+%28%28HCI+OR+%22Human-Computer+Interaction%22+OR+%22Human+Computer+Interaction%22%29+OR+%28HMI+OR+%22Human-Machine+Interaction%22+OR+%22Human+Machine+Interaction%22%29%29%29",2017/05/04 16:53:42
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"An image compression for embedded eye-tracking applications","P. Morozkin; M. Swynghedauw; M. Trocan","SuriCog, Paris, France","2016 International Symposium on INnovations in Intelligent SysTems and Applications (INISTA)","20160922","2016","","","1","5","Human-machine interaction is becoming a sufficient part of coming future. Being a bright example of HMI, embedded eye-tracking systems allow user to interact with objects by using human's eye-movements. Due to wearable form-factor, developed eye-tracking system has to conform to low-power consumption, low-heat generation and low EM radiation as well as support wireless data transmission and be space efficient. Image capturing, finding of region of interest (ROI), compression of ROI and wireless transmission of compressed data are very beginning steps of the whole algorithm of finding coordinates of pupil. Therefore, area of concentration is to make them as performant as possible from theoretical point of view to further implementation. Combination of hardware powered ROI-finder coupled with well-tuned and optimized image compression system is aimed to speed-up wireless delivery of ROI-images to processing unit. Details of design of such system are presented and discussed.","","","10.1109/INISTA.2016.7571852","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7571852","FPGA;embedded eye-tracking;human-machine interaction;image compression;wireless data transmission","Bit rate;Codecs;Delays;Frequency-domain analysis;Image coding;Transform coding;Wireless sensor networks","gaze tracking;human computer interaction;image coding;object tracking","EM radiation;HMI;embedded eye-tracking;heat generation;human eye-movement;human-machine interaction;image capturing;image compression;power consumption;region-of-interest compression;wearable form-factor;wireless data transmission","","","","","","","2-5 Aug. 2016","","IEEE","IEEE Conference Publications"
"Cortically Coupled Computing: A New Paradigm for Synergistic Human-Machine Interaction","S. Saproo; J. Faller; V. Shih; P. Sajda; N. R. Waytowich; A. Bohannon; V. J. Lawhern; B. J. Lance; D. Jangraw","Columbia University","Computer","20160907","2016","49","9","60","68","Unlike traditional brain-computer interfaces that use brain signals for direct control of computers and robotics, a cortically coupled computer system opportunistically senses the brain state, capturing a user's implicit or explicit computation, and then communicates this information to a traditional computer system via a neural interface.","0018-9162;00189162","","10.1109/MC.2016.294","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7562326","AI;BCI;C3V;CV;HMI;IEEE Brain Initiative;artificial intelligence;bioengineering;bioinformatics;brain-computer interface;computer vision;computing paradigms;cortically coupled computer vision;cortically coupled computing;data analysis;deep learning;human-autonomy integration;human-machine interaction;human-machine interface;intelligent systems;machine learning;neural computing;visualization","Artificial intelligence;Bioengineering;Computer vision;Coupled computing;Data analysis;Intelligent systems;Machine learning;Man-machine interfaces;Neural computing","brain-computer interfaces;human computer interaction","brain-computer interface;cortically coupled computing;neural interface;synergistic human-machine interaction","","","","","","","Sept. 2016","","IEEE","IEEE Journals & Magazines"
"A framework for human-machine interaction using Depthmap and compactness","Jyothilakshmi P; K. R. Rekha; K. R. Nataraj","Jain University, Bengalore, India","2015 International Conference on Emerging Research in Electronics, Computer Science and Technology (ICERECT)","20160627","2015","","","462","467","In recent past research and development in the field of Human-computer/machine interaction (HMI) is on fast track because there has been enough advancement of technologies such as advanced image processing techniques and sensors etc. which provides ease to formulate a test bed to experiment various HMI. A device called Kinect has been introduced for controlling functionalities of windows operating system, which is being widely used in Xbox games by Microsoft. This paper illustrates one of the popular HMI application called mouse control using hand gesture recognition. The method is named as hand-mouse (HM). HM tracks the full body vital core point and the movement of palm controls the movement of mouse cursor and the opening and closing of palm controls a mouse click events. The HM system is using Kinect in order to avoid wearing of any sensors or gesture training dataset, which reduces the computational overhead and experimental results demonstrates a real time output with satisfactory results having higher true positive and lesser false negative.","","Electronic:978-1-4673-9563-2; POD:978-1-4673-9564-9","10.1109/ERECT.2015.7499060","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7499060","Digital Image Processing;Hand Gesture;Human Machine Interface;Mouse Control","Cameras;Gesture recognition;Mathematical model;Mice;Sensors;Skeleton;Tracking","computer games;human computer interaction;image processing;man-machine systems;mouse controllers (computers);operating systems (computers)","HM system;HMI;Kinect;Microsoft;Xbox games;advanced image processing techniques;hand gesture recognition;hand-mouse;human-machine interaction;mouse click events;mouse control;windows operating system","","","","20","","","17-19 Dec. 2015","","IEEE","IEEE Conference Publications"
"A comparison of two takeoff and climb out flap retraction standard operating procedures","H. K. Kourdali; L. Sherry","Center for Air Transportation Systems Research (CATSR) at George Mason University (GMU), Fairfax, VA, USA","2016 Integrated Communications Navigation and Surveillance (ICNS)","20160609","2016","","","4A2-1","4A2-14","Takeoff and climb out flap retraction is a procedure that is conducted following takeoff to retract the flaps and slats from a takeoff configuration to a clean-up-and-away configuration. During this period the aircraft accelerates from the takeoff V2 speed to 250 knots and generally includes a thrust reduction from the takeoff thrust setting to the climb thrust setting. Timing of the flap retraction is critical to avoid overspeed or underspeed. Also, due to the vicinity of terrain and traffic, the aircraft performance and airspace must be carefully monitored while staying responsive to Air Traffic Control voice communication. As a result the design and certification of these procedures must resolve multiple conflicting objectives. This paper describes a formal analysis of alternate takeoff flap retraction procedures for the BAE 146 (Avro) aircraft. One procedure requires a “callout” by the Pilot Flying (PF) for each stage of flap retraction. The other procedure delegates flap retraction to the Pilot Monitoring (PM). A formal analysis of the procedures using the Human Machine Interaction Sequence Diagram (HMI-SD) method yielded equal utility. Overall, the Callout procedure is more robust to interruption and provides a better shared mental model between the crew members. However, the Delegate procedure can be completed on average 4.5 seconds faster providing more time for monitoring or performing other tasks. The implications and limitations of the formal procedure analysis is discussed.","","Electronic:978-1-5090-2149-9; POD:978-1-5090-2150-5","10.1109/ICNSURV.2016.7486344","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7486344","","Acceleration;Air traffic control;Aircraft;Cognitive science;Monitoring;Monte Carlo methods;Robustness","aerospace computing;air traffic control;human computer interaction","BAE 146 aircraft;HMI-SD method;PM;air traffic control voice communication;callout procedure;clean-up-and-away configuration;climb thrust setting;formal procedure analysis;human machine interaction sequence diagram method;pilot monitoring;takeoff and climb out flap retraction;takeoff thrust setting;thrust reduction","","","","6","","","19-21 April 2016","","IEEE","IEEE Conference Publications"
"SEMG based human computer interface for physically challenged patients","M. Shafivulla","Department of Electronics and Communication Engineering, KLU, Vijayawada-534007, A.P. India","2016 International Conference on Advances in Human Machine Interaction (HMI)","20160409","2016","","","1","4","This paper present the use of hand gestures for human-computer interaction, this paper presents an approach to identify hand gestures using muscle activity separated from electromyogram (EMG) using ANN. To retain a constraint-free user's environment, EMG sensing is limited to three arm muscles. EMG signals are processed to attain parameters that are related to the muscles temporal activities. The attainment of these parameters through time constructs a unique signature for each particular gesture. Experimental investigation was carried out to examine the system's reliability in recognizing 6 arm gestures. The results show that the system can recognize the 6 gestures with a success rate of 98%. The advantage of such a system is that it is easy to train by a layer, and can easily be implemented in real time after the initial training.","","Electronic:978-1-4673-8810-8; POD:978-1-4673-8811-5","10.1109/HMI.2016.7449200","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7449200","ANN with BPP;Microcontroller;Surface electromyography (SEMG);Wavelets","Artificial neural networks;Electrodes;Electromyography;Feature extraction;Muscles;Skin;Wrist","electromyography;gesture recognition;handicapped aids;human computer interaction;medical signal processing;neural nets","ANN;EMG signal processing;SEMG based human computer interface;arm gesture recognition;artificial neural network;electromyogram;hand gesture identification;human-computer interaction;muscles temporal activities;physically challenged patients;surface electromyography","","","","6","","","3-5 March 2016","","IEEE","IEEE Conference Publications"
"Semi natural language algorithm to programming language interpreter","S. Nadkarni; P. Panchmatia; T. Karwa; S. Kurhade","I.T. Department, Sardar Patel Institute of Technology, Mumbai, India","2016 International Conference on Advances in Human Machine Interaction (HMI)","20160409","2016","","","1","4","The conversion of an algorithm to code is still at an early stage. Effective conversion of algorithms mentioned in natural English language to code will enable programmers to focus on logic building and free them of syntactical worries, further it will also aid the visually impaired programmers. Although beneficial, implementation of such a converter encounters numerous challenges like limitations imposed due to semantics of the English language, case frames, etc. In this paper we have introduced an interpreter that is capable of converting algorithms in English to C code whose flexibility of interpretation has been enhanced by using synonyms and by the introduction of a personalised training model whose concept has been outlined below. We have defined the conceptual model along with a user scenario which demonstrates the functioning of our model.","","Electronic:978-1-4673-8810-8; POD:978-1-4673-8811-5","10.1109/HMI.2016.7449190","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7449190","Case frames;NLP interpreter;Natural Language Processing;Personalized;Trigger words","Computer languages;Natural language processing;Programming;Semantics;Training;Writing","human computer interaction;natural language processing","NLP interpreter;natural language processing;seminatural language algorithm;visually impaired programmers","","","","5","","","3-5 March 2016","","IEEE","IEEE Conference Publications"
"Measurement of efficiency of auditory vs visual communication in HMI: A cognitive load approach","N. Kumar; J. Kumar","Instrument Design & Development Centre, IIT DELHI, NEW DELHI, India","2016 International Conference on Advances in Human Machine Interaction (HMI)","20160409","2016","","","1","8","As Human machine interaction (HMI) is becoming increasingly complex, the need to assess the efficiency of modes of human-machine communication are increasingly becoming relevant. Several methods to analyze the cognitive activity of users for HMI exist like verbal protocols, cognitive task analysis and physiological measures (EEG, MEG & fMRI) etc. In this paper, power spectrum analysis of EEG in parietal and occipital lobes of the human brain has been used for comparative study of efficiency of visual and auditory tasks in HMI. For the same task, both the visual and auditory instructions were given and the observed efficiency correlated with the EEG power spectrum. The results showed that visual channel lead to less brain activity and hence was faster means of machine to human communication when the subject was attending to the task. Further, this paper argues for EEG power spectrum as an objective measure of the human cognitive load caused by the machine, environment and task in the HMI setup.","","Electronic:978-1-4673-8810-8; POD:978-1-4673-8811-5","10.1109/HMI.2016.7449168","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7449168","Cognitive load;EEG;Human machine interaction","Brain-computer interfaces;Electroencephalography;Physiology;Power measurement;Spectral analysis;Visualization","auditory evoked potentials;cognition;electroencephalography;human computer interaction;medical signal processing;physiology;visual evoked potentials","EEG power spectrum analysis;HMI;MEG;auditory communication;cognitive activity analysis;cognitive load approach;cognitive task analysis;efficiency measurement;fMRI;human machine interaction;occipital lobes;parietal lobes;physiological measures;verbal protocols;visual communication","","","","28","","","3-5 March 2016","","IEEE","IEEE Conference Publications"
"A dialogue monitoring scheme for a virtual doctor","S. Mallios; N. Bourbakis","Department of Computer Science and Engineering, Wright State University, Dayton, OH 45435 USA","2015 National Aerospace and Electronics Conference (NAECON)","20160331","2015","","","249","253","In today's digital world the information exchange has reached very large volumes per minute, assisting people in doing their business from long distances, without their presence being necessary. At the same time, Human Machine Interaction (HMI) devices are used in many places of service and interaction by removing humans from the loop. Although these devices have advanced recently, they are still far away from replacing the human from the interaction loop. Their major problem is that they cannot reliably and efficiently respond to human requests; they mainly behave as ""answer"" machines. In response to this problem we propose a new HMI scheme, capable of offering a better communication and interaction to human users, based on SPN dialogue rather than answers to questions.","","Electronic:978-1-4673-7565-8; POD:978-1-4673-7566-5","10.1109/NAECON.2015.7443077","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7443077","SPN dialogue;health monitoring;human-machine interaction;prognosis;virtual doctor","","human computer interaction;interactive systems;medical computing;patient monitoring","HMI devices;SPN dialogue;dialogue monitoring scheme;digital world;human machine interaction;information exchange;interaction loop;virtual doctor","","","","6","","","15-19 June 2015","","IEEE","IEEE Conference Publications"
"A real-time dynamic hand gesture recognition system using kinect sensor","Y. Chen; B. Luo; Y. L. Chen; G. Liang; X. Wu","Wuyi University, Jiangmen, Guangdong Province","2015 IEEE International Conference on Robotics and Biomimetics (ROBIO)","20160225","2015","","","2026","2030","The use of hand gestures provides an attractive alternative to cumbersome interface devices for Human-Computer Interaction (HCI). However, in dynamic gesture recognition area, hand tracking under a complicated environment and gesture spotting namely detecting the start and end point are the two most challenging topics. In our work, a realtime Kinect-based dynamic hand gesture recognition (HGR) system which contains hand tracking, data processing, model training and gesture classification is proposed. In the first stage, two states of the performed hand including open and closed are utilized to achieve gesture spotting and 3D motion trajectories of gestures are captured by Kinect sensor. Further, motion orientation is extracted as the unique feature and Support Vector Machine (SVM) is used as the recognition algorithm in the proposed system. The results of experiments conducted in our database containing 10 Arabic numbers from 0 to 9 and the 26 characters of alphabet show efficiency with an average recognition rate of 95.42% and real-time performance of our method.","","Electronic:978-1-4673-9675-2; USB:978-1-4673-9674-5","10.1109/ROBIO.2015.7419071","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7419071","Dynamic hand gesture recognition;Gesture spotting;Kinect 2.0;Skeleton tracking","Feature extraction;Gesture recognition;Hidden Markov models;Real-time systems;Support vector machines;Training;Trajectory","gesture recognition;human computer interaction;image classification;image motion analysis;image sensors;interactive devices;object detection;object recognition;object tracking;support vector machines","3D motion trajectories;HCI;HGR system;Kinect sensor;Kinect-based dynamic hand gesture recognition algorithm;SVM;average recognition rate;data processing;dynamic gesture recognition area;gesture classification;gesture spotting;hand tracking;human computer interaction;interface devices;model training;motion orientation;real-time dynamic hand gesture recognition system;support vector machine","","","","21","","","6-9 Dec. 2015","","IEEE","IEEE Conference Publications"
"Efficient Algorithms for Accelerometer-Based Wearable Hand Gesture Recognition Systems","G. Marqués; K. Basterretxea","Digital Electron. Design Group, Univ. of the Basque Country, Bilbao, Spain","2015 IEEE 13th International Conference on Embedded and Ubiquitous Computing","20151228","2015","","","132","139","The rapid increase in the use of robotic systems in industrial and domestic environments makes it necessary the development of more natural interaction procedures. This paper presents the development of a user-specific hand Gesture Recognition System (GRS) based on the information of a single tri-axial accelerometer to recognize 7 different dynamic gestures for natural Human Machine Interaction (HMI). The aim of this paper is to analyze and compare different computational methods for feature extraction, dimensionality reduction, and vector classification in order to select the most suitable combination of signal processing stages that meets the performance requirements for a single-chip, wearable GRS system. These requirements are lag-free response, low size, and low power consumption while keeping high recognition accuracy. Experimental results show that the overall achievable accuracy can be up to 98% for Artificial Neural Network (ANN) and Extreme Learning Machine (ELM) predictors, and 99% for Support Vector Machines (SVM).","","Electronic:978-1-4673-8299-1; POD:978-1-4673-8300-4","10.1109/EUC.2015.25","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7363627","embedded systems;hand gesture recognition;human computer interaction;neural classifiers;wearable computing","Accelerometers;Artificial neural networks;Classification algorithms;Feature extraction;Frequency-domain analysis;Gesture recognition;Time-domain analysis","accelerometers;feature extraction;gesture recognition;human computer interaction;image classification;learning (artificial intelligence);neural nets;support vector machines","ANN;ELM predictor;HMI;SVM;accelerometer-based wearable hand gesture recognition system;artificial neural network;computational method;dimensionality reduction;domestic environment;dynamic gesture;extreme learning machine predictor;feature extraction;industrial environment;lag-free response;low power consumption;natural human machine interaction;natural interaction procedure;performance requirement;recognition accuracy;robotic system;signal processing stage;single tri-axial accelerometer;single-chip;support vector machine;user-specific hand gesture recognition system;vector classification;wearable GRS system","","","","27","","","21-23 Oct. 2015","","IEEE","IEEE Conference Publications"
"EEG-Based Perceived Tactile Location Prediction","D. Wang; Y. Liu; D. Hu; G. Blohm","College of Mechatronics and Automation, National University of Defense Technology, Changsha, China","IEEE Transactions on Autonomous Mental Development","20151209","2015","7","4","342","348","Previous studies have attempted to investigate the peripheral neural mechanisms implicated in tactile perception, but the neurophysiological data in humans involved in tactile spatial location perception to help the brain orient the body and interact with its surroundings are not well understood. In this paper, we use single-trial electroencephalogram (EEG) measurements to explore the perception of tactile stimuli located on participants' right forearm, which were approximately equally spaced centered on the body midline, 2 leftward and 2 rightward of midline. An EEG-based signal analysis approach to predict the location of the tactile stimuli is proposed. Offline classification suggests that tactile location can be detected from EEG signals in single trial (four-class classifier for location discriminate can achieve up to 96.76%) with a short response time (600 milliseconds after stimulus presentation). From a human-machine-interaction (HMI) point of view, this could be used to design a real-time reactive control machine for patients, e.g., suffering from hypoesthesia.","1943-0604;19430604","","10.1109/TAMD.2015.2427581","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7097691","Electroencephalogram (EEG);prediction;spatial location perception;tactile","Band-pass filters;Electroencephalography;Light emitting diodes;Neuroscience;Solenoids;Time-frequency analysis","electroencephalography;haptic interfaces;human computer interaction;medical signal processing;neurophysiology","EEG measurement;EEG-based signal analysis;human-machine-interaction;neurophysiological data;perceived tactile location prediction;peripheral neural mechanism;single-trial electroencephalogram;tactile perception;tactile spatial location perception;tactile stimuli","","1","","18","","20150429","Dec. 2015","","IEEE","IEEE Journals & Magazines"
"Motion estimation for human-machine interaction","G. M. Phade; P. D. Uddharwar; P. A. Dhulekar; S. T. Gandhe","Electronics and Telecommunication Department, Savitribai Phule University of Pune, India","2014 IEEE International Symposium on Signal Processing and Information Technology (ISSPIT)","20151026","2014","","","000149","000154","Human machine interaction is an evolving research area which deals with interactions with machines that will be as natural as an interaction between humans. Vision based motion estimation can also be said as the interpretation of motions via mathematical algorithms. This system have applications in domains such as sign language translation, virtual environments, smart surveillance, controlling robots, control of machines, medical systems etc. The task is challenging due to the accuracy, further the items in the background or distinct features of the users may make recognition more difficult. In this survey, we address these challenges. We provide an overview of current advances in the field. Further, we discuss limitations and outline promising directions of research. A brief overview of methodologies implemented by earlier researcher on vision based gesture recognition for human machine interaction is discussed here.","2162-7843;21627843","CD-ROM:978-1-4799-1811-9; Electronic:978-1-4799-1812-6; POD:978-1-4799-1813-3","10.1109/ISSPIT.2014.7300579","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7300579","Gesture recognition;Human machine interaction (HMI);Motion estimation","Biomedical monitoring;Estimation;Graphical user interfaces;Monitoring;Personal digital assistants;Radio frequency;Virtual environments","computer vision;gesture recognition;human computer interaction;motion estimation","HMI;background items;human-machine interaction;mathematical algorithms;motion interpretation;user features;vision-based gesture recognition;vision-based motion estimation","","","","16","","","15-17 Dec. 2014","","IEEE","IEEE Conference Publications"
"Recommendations Supporting Situation Awareness in Partially Automated Driver Assistance Systems","F. Wulf; M. Rimini-Döring; M. Arnon; F. Gauterin","Robert Bosch GmbH, Abstatt, Germany","IEEE Transactions on Intelligent Transportation Systems","20150731","2015","16","4","2290","2296","It is believed that automated driving is able to fulfill the demand for comfort and safety in traffic. Recent developments have been able to take over all parts of the driving task in specific situations. However, it remains to the driver to monitor the system's behavior upon errors and to intervene in the case of critical situations. On account of the automation, the driver may not be able to overlook the whole situation in the same way he would do while driving manually. In addition to that, the driver's motivation to perform secondary tasks while being driven enhances these challenges. The research activities presented in this paper are concentrated on the development and the evaluation of certain human-machine interface (HMI) mechanisms. It is hypothesized that such mechanisms have a positive impact on driver's situation awareness (SA) and resulting driving safety (DS). The evaluation of these mechanisms occurred in a driving simulator study. Based on the evaluation results, a system presenting the secondary task's display in the vehicle's head-up display is proposed. Thereby, the driver is expected to be able to keep the vehicle's environment in his peripheral field of view without being distracted too much. At the same time, relevant elements to operate the secondary task should be located on the steering wheel. This is expected to reduce the time needed for steering reactions, as drivers keep at least one hand on the steering wheel. The results suggest that such a system design appears reasonable in order to enhance driver's SA and DS while driving partially automated.","1524-9050;15249050","","10.1109/TITS.2014.2376572","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7000589","Driving simulator;human–machine interaction;human???machine interaction;partially automated driving;situation awareness (SA)","Automation;Current measurement;Monitoring;Safety devices;Vehicles;Wheels","driver information systems;human computer interaction;road safety","HMI mechanisms;automated driving;driver situation awareness;driving safety;driving simulator;human-machine interface mechanism evaluation;partially automated driver assistance systems;steering wheel;system behavior monitoring;traffic safety;vehicle head-up display","","0","","50","","20141231","Aug. 2015","","IEEE","IEEE Journals & Magazines"
"Offloading industrial human-machine interaction tasks to mobile devices and the cloud","L. Wang; A. Canedo","Siemens Corporation, Corporate Technology, Princeton, USA","Proceedings of the 2014 IEEE Emerging Technology and Factory Automation (ETFA)","20150112","2014","","","1","4","This paper presents a three-tier architecture to offload Human-Machine Interaction (HMI) industrial automation tasks to local mobile devices and then the cloud, to take advantage of distributed computing and processing resources and to add new features to the HMI panel system. To best utilize the merits of each tier, a scheduling algorithm intelligently distributes the HMI tasks among the local HMI panel, mobile devices, and the cloud while taking into consideration their real-time characteristics. We demonstrate the proposed architecture with a real implementation on with a turbine control HMI.","1946-0740;19460740","Electronic:978-1-4799-4845-1; POD:978-1-4799-4844-4","10.1109/ETFA.2014.7005249","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7005249","Task offloading;cloud;human-machine interface (HMI);industry automation;mobile technology","Automation;Computer architecture;Mobile communication;Mobile handsets;Performance evaluation;Real-time systems;Runtime","cloud computing;factory automation;human computer interaction;man-machine systems;mobile computing;mobile handsets","HMI panel system;cloud computing;distributed computing resources;distributed processing resources;local HMI panel;mobile devices;offload HMI industrial automation tasks;offload human-machine interaction industrial automation tasks;three-tier architecture;turbine control HMI","","0","","3","","","16-19 Sept. 2014","","IEEE","IEEE Conference Publications"
"A happiness-oriented home care system for elderly daily living","Y. Y. Ou; P. Y. Shih; T. W. Kuan; S. H. Shih; J. F. Wang; J. S. Wu","Dept. of Electr. Eng., Nat. Cheng Kung Univ., Tainan, Taiwan","2014 International Conference on Orange Technologies","20141120","2014","","","193","196","Currently the modern developing home-care systems highlight the functionalities on bio-signals measurement, security surveillance and health care, however most of them work independently. In this paper, a newly warming-care framework for elderly is proposed, not only to reach the aforementioned services, but also including following kindly services, that is, the remote monitoring, the web camera management, the emergency call for help, the behavior recognition and feedback, and the remote control entertainment services, to reach a comprehensive humanistic-caring system. The proposed framework is motivated by the individual alphabet on “HAPPINESS” which are redefined and interpreted as “Health”, “Ability”, “Protection”, “Personalization”, “Interaction”, “Nursing”, “Entertainment”, “Succor” and “Smile”. Three main services are spotlighted to achieve the goals described below. The Web-based Central Camera Management Service (WCCMS) is a real-time remote monitoring function that a caregiver can pay attention to care elderly anytime and anywhere through web services; the Multimodal Human-Machine Interaction Service (MHMIS) provides the audio-visual cognitive functions to interact with elderly, and the Web-based User Management Service (WUMS) gives user a smart HMI interface including bio-signal measurement, help button, remote control, and hospital appointment scheduling functionalities. To evaluate the proposed framework usability, MOS (Mean Opinion Score) is applied and average MOS 4.2 score is acquired that reveals the proposed system expectable.","","Electronic:978-1-4799-6284-6; POD:978-1-4799-6285-3","10.1109/ICOT.2014.6956632","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6956632","HAPPINESS-oriented home care system;multiple human-machine interaction service;web-based management service","Cameras;Customer services;Entertainment industry;Hospitals;Remote monitoring;Senior citizens","Web services;assisted living;cameras;geriatrics;human computer interaction;patient monitoring;telemedicine","MHMIS;MOS 4.2 score;WCCMS;WUMS;Web camera management;Web services;Web-based central camera management service;Web-based user management service;audio-visual cognitive function;behavior recognition;biosignal measurement;biosignals measurement;comprehensive humanistic-caring system;elderly daily living;feedback;framework usability;happiness-oriented home care system;health care;help button;hospital appointment scheduling functionality;mean opinion score;multimodal human-machine interaction service;real-time remote monitoring function;remote control entertainment services;security surveillance;smart HMI interface;warming-care framework","","2","","11","","","20-23 Sept. 2014","","IEEE","IEEE Conference Publications"
"An initial approach towards the implementation of human error identification services for antifragile systems","C. A. Ramirez; M. Itoh","Department of Risk Engineering, University of Tsukuba, Japan","2014 Proceedings of the SICE Annual Conference (SICE)","20141027","2014","","","2031","2036","This paper describes a theoretical approach to implement human error identification services for antifragile systems. The services provide data analysis and maintain a human error database that is fed and used by multiple software systems. Thus, systems take advantage of the shared human error database by integrating its knowledge into their own antifragile strategy to self-adjust data policies and user interface input requirements. This encourages an increased rate of changes in the internal models of the external physical objects and environments that antifragile systems might take into account in their learning process. Initial considerations of human-machine interaction issues that might arise in antifragile systems are discussed.","","Electronic:978-4-9077-6446-3; POD:978-1-4799-6548-9","10.1109/SICE.2014.6935315","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6935315","Antifragility;HMI;Human error;Human error database","Adaptation models;Automation;Context;Databases;Resource management;Software systems","data analysis;human computer interaction;human factors;user interfaces","antifragile systems;data analysis;data policies;human error identification services;human-machine interaction;learning process;shared human error database;user interface input requirements","","0","","11","","","9-12 Sept. 2014","","IEEE","IEEE Conference Publications"
"Automatic emotion recognition in video","R. KalaiSelvi; P. Kavitha; K. L. Shunmuganathan","Department of CSE, RMK Engineering College, Chennai","2014 International Conference on Green Computing Communication and Electrical Engineering (ICGCCEE)","20141016","2014","","","1","5","Automatic recognition of emotion is becoming increasingly important component in Human-Machine Interaction (HMI) systems. Recognizing human facial emotion by computer is interesting and challenging problem. Emotions are the key semantic component of human communication. This paper presents the system for recognizing emotions through facial expression displayed in the video. Audio-visual emotion recognition can be carried out with the video sequence. The video sequence is a mixture of both the audio and video information. But in this paper, we are dealing only with the video information to recognize the emotion of a character. This process is carried out by the selection of the target frame followed by the segmentation of the video sequence. Facial feature tracking is performed to extract features. The face is classified in to different Action Units. Face emotions are recognized by using Dynamic Bayesian Network. The results so far shows the approach to have a promising success rate.","","Electronic:978-1-4799-4982-3; POD:978-1-4799-4981-6","10.1109/ICGCCEE.2014.6921398","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6921398","Action Unit recognition;Dynamic Bayesian Network;Facial Feature Tracking;Video segmentation","Emotion recognition;Face;Face recognition;Facial features;Feature extraction;Hidden Markov models;Video sequences","belief networks;emotion recognition;face recognition;feature extraction;human computer interaction;image classification;image segmentation;image sequences;object tracking;video signal processing","HMI systems;action units;audio information;audio-visual emotion recognition;automatic emotion recognition;dynamic Bayesian network;facial expression;facial feature tracking;feature extraction;human communication key semantic component;human facial emotion recognition;human-machine interaction systems;video information;video sequence segmentation","","2","","20","","","6-8 March 2014","","IEEE","IEEE Conference Publications"
"Robust Hand Detection and Tracking Based on Monocular Vision","H. Liang; Y. Zhao; J. Wei; D. Quan; R. Cheng; Y. Wei","Sch. of Electron. & Comput. Eng., Peking Univ., Shenzhen, China","2014 Sixth International Conference on Intelligent Human-Machine Systems and Cybernetics","20141009","2014","2","","134","137","Vision based hand tracking is an important area of human machine interaction (HCI) and virtual reality techniques. However, it is still a great challenge. Due to the complicated environment and various hand appearances, it is difficult to realize stable and long-term tracking. In this paper, we proposed an effective approach to detect and track hand with a normal webcam. An integrating multi-cue detector with skin color and hand classifier is used to initialize the tracking region and find appearance information during tracking. Also a median flow tracker is integrated which utilizing the motion information to enhance the accuracy in short-term. We realize an automatic system of stable and long-term hand tracking, which can detect and track pre-trained frontal view hand gesture. Experiments show the good performance of our approach.","","Electronic:978-1-4799-4955-7; POD:978-1-4799-4954-0","10.1109/IHMSC.2014.135","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6911466","hand detection;hand tracking;human computer interaction(HCI)","Accuracy;Detectors;Feature extraction;Image color analysis;Robustness;Skin;Tracking","computer vision;gesture recognition;human computer interaction;image colour analysis;image motion analysis;object tracking;palmprint recognition;virtual reality","HCI;frontal view hand gesture;hand classifier;human machine interaction;median flow tracker;monocular vision;motion information;multicue detector;robust hand detection;skin color;virtual reality;vision based hand tracking","","0","","17","","","26-27 Aug. 2014","","IEEE","IEEE Conference Publications"
