Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Investigating antecedents of technology acceptance of initial eCRM users beyond generation X and the role of self-construal","Electronic Commerce Research","","7","3 - 4","10.1007/s10660-007-9009-2","Qimei ChenHong-Mei ChenRick Kazman","2007","http://link.springer.com/article/10.1007/s10660-007-9009-2","Article"
"Ambient multimodality: towards advancing computer accessibility and assisted living","Universal Access in the Information Society","","5","1","10.1007/s10209-006-0027-y","Noëlle Carbonell","2006","http://link.springer.com/article/10.1007/s10209-006-0027-y","Article"
"Introduction to Techniques and Modalities","Handbook of Human Computation","","","","10.1007/978-1-4614-8806-4_23","Kshanti A. Greene","2013","http://link.springer.com/chapter/10.1007/978-1-4614-8806-4_23","Chapter"
"Cultures of Participation in the Digital Age: Empowering End Users to Improve Their Quality of Life","End-User Development","","","","10.1007/978-3-642-38706-7_31","David DíezAnders I. MørchAntonio PiccinnoStefano Valtolina","2013","http://link.springer.com/chapter/10.1007/978-3-642-38706-7_31","Chapter"
"Early experience with the mediaspace CoMedi","Engineering for Human-Computer Interaction","","","","10.1007/978-0-387-35349-4_4","J. CoutazF. BérardE. CarrauxJ. Crowley","1999","http://link.springer.com/chapter/10.1007/978-0-387-35349-4_4","Chapter"
"External Requirements of Groupware Development Tools","Engineering for Human-Computer Interaction","","","","10.1007/978-0-387-35349-4_21","T. C. Nicholas GrahamJohn Grundy","1999","http://link.springer.com/chapter/10.1007/978-0-387-35349-4_21","Chapter"
"Caesar: an intelligent domestic service robot","Intelligent Service Robotics","","5","4","10.1007/s11370-012-0118-y","Stefan SchifferAlexander FerreinGerhard Lakemeyer","2012","http://link.springer.com/article/10.1007/s11370-012-0118-y","Article"
"EMIL: A Rapid Prototyping Authoring Environment for the Design of Interactive Surface Applications","Human-Computer Interaction. Human-Centred Design Approaches, Methods, Tools, and Environments","","","","10.1007/978-3-642-39232-0_42","Johannes LuderschmidtNadia HaubnerSimon LehmannRalf Dörner","2013","http://link.springer.com/chapter/10.1007/978-3-642-39232-0_42","Chapter"
"Analysing Trans-Modal Interface Migration","Human-Computer Interaction - INTERACT 2005","","","","10.1007/11555261_107","Renata BandelloniSilvia BertiFabio Paternò","2005","http://link.springer.com/chapter/10.1007/11555261_107","Chapter"
"Streamlining Complexity: Conceptual Page Re-modeling for Rich Internet Applications","Current Trends in Web Engineering","","","","10.1007/978-3-642-27997-3_28","Andrea PandurinoDavide BolchiniLuca MainettiRoberto Paiano","2012","http://link.springer.com/chapter/10.1007/978-3-642-27997-3_28","Chapter"
"Handling Human Factors in Integrated Systems Engineering","Human Error, Safety and Systems Development","","","","10.1007/1-4020-8153-7_13","Michael Cebulla","2004","http://link.springer.com/chapter/10.1007/1-4020-8153-7_13","Chapter"
"What makes good research in software engineering?","International Journal on Software Tools for Technology Transfer","","4","1","10.1007/s10009-002-0083-4","Mary Shaw","2002","http://link.springer.com/article/10.1007/s10009-002-0083-4","Article"
"Task Patterns for Taking Into Account in an Efficient and Systematic Way Both Standard and Erroneous User Behaviours","Human Error, Safety and Systems Development","","","","10.1007/1-4020-8153-7_8","Philippe PalanqueSandra Basnyat","2004","http://link.springer.com/chapter/10.1007/1-4020-8153-7_8","Chapter"
"A Persona-Based Approach for Exploring Architecturally Significant Requirements in Agile Projects","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-642-37422-7_2","Jane Cleland-HuangAdam CzaudernaEd Keenan","2013","http://link.springer.com/chapter/10.1007/978-3-642-37422-7_2","Chapter"
"Multitouch Sensing for Collaborative Interactive Walls","Human-Computer Interaction Symposium","","","","10.1007/978-0-387-09678-0_20","Alessandro SoroGavino PaddeuMirko Luca Lobina","2008","http://link.springer.com/chapter/10.1007/978-0-387-09678-0_20","Chapter"
"Mixed-Initiative Issues in an Agent-Based Meeting Scheduler","User Modeling and User-Adapted Interaction","","9","1 - 2","10.1023/A:1008359001692","Amedeo CestaDaniela D'Aloisi","1999","http://link.springer.com/article/10.1023/A%3A1008359001692","Article"
"A new software architecture for developing and testing algorithms for space exploration missions","Intelligent Service Robotics","","4","2","10.1007/s11370-011-0086-7","Enrico SimettiEnrica ZereikAlessandro SperindéSandro TorelliDavide DuccoFabio FrassinelliAlessio TurettaGiuseppe Casalino","2011","http://link.springer.com/article/10.1007/s11370-011-0086-7","Article"
"Modelling Unwarranted Commitment in Information Artefacts","Engineering for Human-Computer Interaction","","","","10.1007/978-0-387-35349-4_5","Chris Roast","1999","http://link.springer.com/chapter/10.1007/978-0-387-35349-4_5","Chapter"
"An augmented reality interface for visualizing and interacting with virtual content","Virtual Reality","","11","1","10.1007/s10055-006-0055-1","Fotis Liarokapis","2007","http://link.springer.com/article/10.1007/s10055-006-0055-1","Article"
"Podcast Generator and Pluriversiradio: An Educational Interactive Experience","Human-Computer Interaction – INTERACT 2007","","","","10.1007/978-3-540-74800-7_71","Alberto BetellaMarco Lazzari","2007","http://link.springer.com/chapter/10.1007/978-3-540-74800-7_71","Chapter"
"Human aspects of internet services: considering the needs of users and providers","Journal of Internet Services and Applications","","1","3","10.1007/s13174-010-0017-4","Claudio S. Pinhanez","2011","http://link.springer.com/article/10.1007/s13174-010-0017-4","Article"
"Johnny: An Autonomous Service Robot for Domestic Environments","Journal of Intelligent & Robotic Systems","","66","1 - 2","10.1007/s10846-011-9608-y","Thomas BreuerGeovanny R. Giorgana MacedoRonny HartantoNico HochgeschwenderDirk HolzFrederik HeggerZha JinChristian MüllerJan PaulusMichael ReckhausJosé Antonio Álvarez RuizPaul G. PlögerGerhard K. Kraetzschmar","2012","http://link.springer.com/article/10.1007/s10846-011-9608-y","Article"
"An open source integrated framework for rapid prototyping of multimodal affective applications in digital entertainment","Journal on Multimodal User Interfaces","","3","3","10.1007/s12193-010-0035-3","Diego ArnoneAlessandro RossiMassimo Bertoncini","2010","http://link.springer.com/article/10.1007/s12193-010-0035-3","Article"
"LISTEN: a user-adaptive audio-augmented museum guide","User Modeling and User-Adapted Interaction","","18","5","10.1007/s11257-008-9049-x","Andreas ZimmermannAndreas Lorenz","2008","http://link.springer.com/article/10.1007/s11257-008-9049-x","Article"
"Merging Web Accessibility and Usability by Patterns","Automation, Communication and Cybernetics in Science and Engineering 2011/2012","","","","10.1007/978-3-642-33389-7_68","Helmut VieritzDaniel SchilbergSabina Jeschke","2013","http://link.springer.com/chapter/10.1007/978-3-642-33389-7_68","Chapter"
"Towards Virtualization Concepts for Novel Automotive HMI Systems","Embedded Systems: Design, Analysis and Verification","","","","10.1007/978-3-642-38853-8_18","Simon GanselStephan SchnitzerFrank DürrKurt RothermelChristian Maihöfer","2013","http://link.springer.com/chapter/10.1007/978-3-642-38853-8_18","Chapter"
"Unified user interface development: the software engineering of universally accessible interactions","Universal Access in the Information Society","","3","3 - 4","10.1007/s10209-004-0096-8","Anthony SavidisConstantine Stephanidis","2004","http://link.springer.com/article/10.1007/s10209-004-0096-8","Article"
"Intelligent Support for End-User Web Interface Customization","Engineering Interactive Systems","","","","10.1007/978-3-540-92698-6_19","José A. MacíasFabio Paternò","2008","http://link.springer.com/chapter/10.1007/978-3-540-92698-6_19","Chapter"
"WalkMap: Developing an augmented reality map application for wearable computers","Virtual Reality","","6","1","10.1007/BF01408567","J. LehikoinenR. Suomela","2002","http://link.springer.com/article/10.1007/BF01408567","Article"
"MIDAS: A Software Framework for Accommodating Heterogeneous Interaction Devices for Cloud Applications","Distributed, Ambient, and Pervasive Interactions","","","","10.1007/978-3-642-39351-8_37","Euijai AhnKangyoon LimGerard Jounghyun Kim","2013","http://link.springer.com/chapter/10.1007/978-3-642-39351-8_37","Chapter"
"Video Gaming for Blind Learners School Integration in Science Classes","Human-Computer Interaction – INTERACT 2009","","","","10.1007/978-3-642-03655-2_5","Jaime SánchezMauricio Sáenz","2009","http://link.springer.com/chapter/10.1007/978-3-642-03655-2_5","Chapter"
"Balancing Complex Page Modeling and Usability for Rich Internet Applications","Proceedings of the Third International Conference on Intelligent Human Computer Interaction (IHCI 2011), Prague, Czech Republic, August, 2011","","","","10.1007/978-3-642-31603-6_2","Andrea PandurinoLuca MainettiDavide BolchiniRoberto Paiano","2013","http://link.springer.com/chapter/10.1007/978-3-642-31603-6_2","Chapter"
"Static Software Architecture of the Sensor Data Fusion Module of the Stadtpilot Project","Automotive Systems Engineering","","","","10.1007/978-3-642-36455-6_5","Sebastian Ohl","2013","http://link.springer.com/chapter/10.1007/978-3-642-36455-6_5","Chapter"
"A kinect-based interface to animate virtual characters","Journal on Multimodal User Interfaces","","7","4","10.1007/s12193-012-0113-9","Andrea SannaFabrizio LambertiGianluca ParavatiFelipe Domingues Rocha","2013","http://link.springer.com/article/10.1007/s12193-012-0113-9","Article"
"Healthcare Interoperability: CDA Documents Consolidation Using Transport Record Summary (TRS) Construction","Human-Computer Interaction. Applications and Services","","","","10.1007/978-3-642-39262-7_7","Philip DePaloKyung Eun ParkYeong-Tae Song","2013","http://link.springer.com/chapter/10.1007/978-3-642-39262-7_7","Chapter"
"Human Detection and Identification by Robots Using Thermal and Visual Information in Domestic Environments","Journal of Intelligent & Robotic Systems","","66","1 - 2","10.1007/s10846-011-9612-2","Mauricio CorreaGabriel HermosillaRodrigo VerschaeJavier Ruiz-del-Solar","2012","http://link.springer.com/article/10.1007/s10846-011-9612-2","Article"
"An Artifact Model for Projects Conforming to Enterprise Architecture","The Practice of Enterprise Modeling","","","","10.1007/978-3-540-89218-2_3","Ralph FoorthuisSjaak BrinkkemperRik Bos","2008","http://link.springer.com/chapter/10.1007/978-3-540-89218-2_3","Chapter"
"An Integration Framework for Motion and Visually Impaired Virtual Humans in Interactive Immersive Environments","Universal Access in Human-Computer Interaction. Applications and Services for Quality of Life","","","","10.1007/978-3-642-39194-1_13","Frank SulzmannRoland BlachManfred Dangelmaier","2013","http://link.springer.com/chapter/10.1007/978-3-642-39194-1_13","Chapter"
"Team-based incremental acquisition of large-scale unprecedented systems","Policy Sciences","","25","1","10.1007/BF00144633","Cecil E. MartinWilliam E. HefleyDavid J. BristowDavid Jan Steele","1992","http://link.springer.com/article/10.1007/BF00144633","Article"
"Experiences with Arthron for Live Surgery Transmission in Brazilian Telemedicine University Network","Human-Computer Interaction. Applications and Services","","","","10.1007/978-3-642-39262-7_23","Tatiana A. TavaresGustavo H. M. B. MottaGuido Souza FilhoErick Mello","2013","http://link.springer.com/chapter/10.1007/978-3-642-39262-7_23","Chapter"
"Proposition of Ergonomic Guidelines to Improve Usability of PLM Systems Interfaces","Product Lifecycle Management for Society","","","","10.1007/978-3-642-41501-2_53","Perrine de PinelNicolas MaranzanaFrédéric SegondsSylvain LerouxVincent Frerebeau","2013","http://link.springer.com/chapter/10.1007/978-3-642-41501-2_53","Chapter"
"Adaptive User Interfaces Development Platform","Human-Computer Interaction - INTERACT 2005","","","","10.1007/11555261_98","Jing-Hua YeJohn Herbert","2005","http://link.springer.com/chapter/10.1007/11555261_98","Chapter"
"Reuse-Conducive Development Environments","Automated Software Engineering","","12","2","10.1007/s10515-005-6206-x","Yunwen YeGerhard Fischer","2005","http://link.springer.com/article/10.1007/s10515-005-6206-x","Article"
"Interfacing Video Capture, Editing and Publication in a Tangible Environment","Human-Computer Interaction – INTERACT 2007","","","","10.1007/978-3-540-74800-7_1","Cati VaucelleHiroshi Ishii","2007","http://link.springer.com/chapter/10.1007/978-3-540-74800-7_1","Chapter"
"User-Centred Design of Flexible Hypermedia for a Mobile Guide: Reflections on the HyperAudio Experience","User Modeling and User-Adapted Interaction","","15","3 - 4","10.1007/s11257-005-8816-1","Daniela PetrelliElena Not","2005","http://link.springer.com/article/10.1007/s11257-005-8816-1","Article"
"Touch & Write: Penabled Collaborative Intelligence","Knowledge Technology","","","","10.1007/978-3-642-32826-8_1","Andreas DengelMarcus LiwickiMarkus Weber","2012","http://link.springer.com/chapter/10.1007/978-3-642-32826-8_1","Chapter"
