Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Scenario-Based Reading Techniques","Software Reading Techniques","","","","10.1007/978-1-4842-2346-8_4","Yang-ming Zhu","2016","http://link.springer.com/chapter/10.1007/978-1-4842-2346-8_4","Chapter"
"A Modeling Framework for Software Architecture Specification and Validation","Simulation, Modeling, and Programming for Autonomous Robots","","","","10.1007/978-3-319-11900-7_26","Nicolas GobillotCharles LesireDavid Doose","2014","http://link.springer.com/chapter/10.1007/978-3-319-11900-7_26","Chapter"
"The Software Architecture for Efficient Distributed Interprocess Communication in Mobile Distributed Systems","Journal of Grid Computing","","12","4","10.1007/s10723-014-9304-9","Susmit Bagchi","2014","http://link.springer.com/article/10.1007/s10723-014-9304-9","Article"
"Web Accessibility for Visually Impaired People: Requirements and Design Issues","Usability- and Accessibility-Focused Requirements Engineering","","","","10.1007/978-3-319-45916-5_6","Mexhid FeratiBahtijar VogelArianit KurtiBujar RaufiDavid Salvador Astals","2016","http://link.springer.com/chapter/10.1007/978-3-319-45916-5_6","Chapter"
"Hyper Heterogeneous Cloud-Based IMS Software Architecture: A Proof-of-Concept and Empirical Analysis","Smart City 360°","","","","10.1007/978-3-319-33681-7_21","Pascal PotvinHanen Garcia GamardoKim-Khoa NguyenMohamed Cheriet","2016","http://link.springer.com/chapter/10.1007/978-3-319-33681-7_21","Chapter"
"On B-Human’s Code Releases in the Standard Platform League – Software Architecture and Impact","RoboCup 2013: Robot World Cup XVII","","","","10.1007/978-3-662-44468-9_61","Thomas RöferTim Laue","2014","http://link.springer.com/chapter/10.1007/978-3-662-44468-9_61","Chapter"
"TheatreBot: A Software Architecture for a Theatrical Robot","Towards Autonomous Robotic Systems","","","","10.1007/978-3-662-43645-5_46","Julián M. Angel FernandezAndrea Bonarini","2014","http://link.springer.com/chapter/10.1007/978-3-662-43645-5_46","Chapter"
"An Extensible Software Architecture for Composing Motion and Task Planners","Simulation, Modeling, and Programming for Autonomous Robots","","","","10.1007/978-3-319-11900-7_28","Zakary LittlefieldAthanasios KrontirisAndrew KimmelAndrew DobsonRahul ShomeKostas E. Bekris","2014","http://link.springer.com/chapter/10.1007/978-3-319-11900-7_28","Chapter"
"A Proposed Hardware-Software Architecture for Virtual Reality in Industrial Applications","Augmented and Virtual Reality","","","","10.1007/978-3-319-22888-4_21","Francesco ChionnaPiero CirilloVito PalmieriMauro Bellone","2015","http://link.springer.com/chapter/10.1007/978-3-319-22888-4_21","Chapter"
"A Generalized Scalable Software Architecture for Analyzing Temporally Structured Big Data in the Cloud","New Perspectives in Information Systems and Technologies, Volume 1","","","","10.1007/978-3-319-05951-8_53","Magnus WesterlundUlf HedlundGöran PulkkisKaj-Mikael Björk","2014","http://link.springer.com/chapter/10.1007/978-3-319-05951-8_53","Chapter"
"Modeling the Concept of Movie in a Software Architecture for Film-Induced Tourism","Digital Libraries on the Move","","","","10.1007/978-3-319-41938-1_13","Giulia LavaroneNicola OrioFarah PolatoSandro Savino","2016","http://link.springer.com/chapter/10.1007/978-3-319-41938-1_13","Chapter"
"Low Cost Hand-Tracking Devices to Design Customized Medical Devices","Virtual, Augmented and Mixed Reality","","","","10.1007/978-3-319-21067-4_36","Giorgio ColomboGiancarlo FacoettiCaterina RizziAndrea Vitali","2015","http://link.springer.com/chapter/10.1007/978-3-319-21067-4_36","Chapter"
"A taxonomy of tool-related issues affecting the adoption of model-driven engineering","Software & Systems Modeling","","16","2","10.1007/s10270-015-0487-8","Jon WhittleJohn HutchinsonMark RouncefieldHåkan BurdenRogardt Heldal","2017","http://link.springer.com/article/10.1007/s10270-015-0487-8","Article"
"Interactive Systems and the MVC Architecture","Object-Oriented Analysis, Design and Implementation","","","","10.1007/978-3-319-24280-4_11","Brahma DathanSarnath Ramnath","2015","http://link.springer.com/chapter/10.1007/978-3-319-24280-4_11","Chapter"
"The Activity Board 1.0: RFID-NFC WI-FI Multitags Desktop Reader for Education and Rehabilitation Applications","Recent Advances in Information Systems and Technologies","","","","10.1007/978-3-319-56538-5_69","Raffaele Di FuccioGiovanni SianoAntonio De Marco","2017","http://link.springer.com/chapter/10.1007/978-3-319-56538-5_69","Chapter"
"Deconstructing the Tower of Babel: a design method to improve empathy and teamwork competences of informatics students","International Journal of Technology and Design Education","","","","10.1007/s10798-015-9348-6","Teresa BlancoIgnacio López-ForniésFrancisco Javier Zarazaga-Soria","2015","http://link.springer.com/article/10.1007/s10798-015-9348-6","Article"
"In Virtuo Molecular Analysis Systems: Survey and New Trends","Virtual, Augmented Reality and Serious Games for Healthcare 1","","","","10.1007/978-3-642-54816-1_4","Guillaume BouyerSamir OtmaneMouna Essabbah","2014","http://link.springer.com/chapter/10.1007/978-3-642-54816-1_4","Chapter"
"A new data science research program: evaluation, metrology, standards, and community outreach","International Journal of Data Science and Analytics","","1","3 - 4","10.1007/s41060-016-0016-z","Bonnie J. DorrCraig S. GreenbergPeter FontanaMark PrzybockiMarion Le BrasCathryn PloehnOleg AulovMartial MichelE. Jim GoldenWo Chang","2016","http://link.springer.com/article/10.1007/s41060-016-0016-z","Article"
"Ontology-Based Learning Content Management System in Programming Languages Domain","Creativity in Intelligent, Technologies and Data Science","","","","10.1007/978-3-319-23766-4_61","Marina KultsovaAnton AnikinIrina ZhukovaAlexander Dvoryankin","2015","http://link.springer.com/chapter/10.1007/978-3-319-23766-4_61","Chapter"
"Methods for the Design and Development","Design Methodology for Intelligent Technical Systems","","","","10.1007/978-3-642-45435-6_5","Harald AnackerMichael DellnitzKathrin FlaßkampStefan GroesbrinkPhilip HartmannChristian HeinzemannChristian HorenkampBernd KleinjohannLisa KleinjohannSebastian KorfMartin KrügerWolfgang MüllerSina Ober-BlöbaumSimon OberthürMario PorrmannClaudia Priesterjahn","2014","http://link.springer.com/chapter/10.1007/978-3-642-45435-6_5","Chapter"
"International Society for Therapeutic Ultrasound Conference 2016","Journal of Therapeutic Ultrasound","","5","1","10.1186/s40349-016-0079-2","Brian FowlkesPejman GhanouniNarendra SanghviConstantin CoussiosPaul C. LyonMichael GrayChristophoros MannarisMarie de Saint VictorEleanor StrideRobin ClevelandRobert CarlisleFeng WuMark MiddletonFergus GleesonJean-Franҫois AubryKim Butts Pauly","2017","http://link.springer.com/article/10.1186/s40349-016-0079-2","Article"
"Architecture and implementation of closed-loop machining system based on open STEP-NC controller","The International Journal of Advanced Manufacturing Technology","","83","5 - 8","10.1007/s00170-015-7631-z","Po HuZhenyu HanHongya FuDedong Han","2016","http://link.springer.com/article/10.1007/s00170-015-7631-z","Article"
"Eliciting Usability from Blind User Mental Model for Touch Screen Devices","Transactions on Engineering Technologies","","","","10.1007/978-94-017-8832-8_42","Mohammed FakrudeenMaaruf AliSufian YousefAbdelrahman H. Hussein","2014","http://link.springer.com/chapter/10.1007/978-94-017-8832-8_42","Chapter"
"Ethical and Technical Aspects of Emotions to Create Empathy in Medical Machines","Machine Medical Ethics","","","","10.1007/978-3-319-08108-3_20","Jordi VallverdúDavid Casacuberta","2015","http://link.springer.com/chapter/10.1007/978-3-319-08108-3_20","Chapter"
"An Enactive Model of Creativity for Computational Collaboration and Co-creation","Creativity in the Digital Age","","","","10.1007/978-1-4471-6681-8_7","Nicholas DavisChih-Pin HsiaoYanna PopovaBrian Magerko","2015","http://link.springer.com/chapter/10.1007/978-1-4471-6681-8_7","Chapter"
"State of the Art in Industrial Automation","Industrial Cloud-Based Cyber-Physical Systems","","","","10.1007/978-3-319-05624-1_2","Thomas BangemannStamatis KarnouskosRoberto CampOscar CarlssonMatthias RiedlStuart McLeodRobert HarrisonArmando W. ColomboPetr Stluka","2014","http://link.springer.com/chapter/10.1007/978-3-319-05624-1_2","Chapter"
"Smart Gamification and Smart Serious Games","Fusion of Smart, Multimedia and Computer Gaming Technologies","","","","10.1007/978-3-319-14645-4_2","Alexander UskovBhuvana Sekar","2015","http://link.springer.com/chapter/10.1007/978-3-319-14645-4_2","Chapter"
"APIs to Affordances: A New Paradigm for Services on the Web","REST: Advanced Research Topics and Practical Applications","","","","10.1007/978-1-4614-9299-3_6","Mike Amundsen","2014","http://link.springer.com/chapter/10.1007/978-1-4614-9299-3_6","Chapter"
"EndoSnake—A Single-Arm-Multi-Port MIRS System with Flexible Instruments","Intelligent Autonomous Systems 13","","","","10.1007/978-3-319-08338-4_80","Julien MintenbeckChristoph LedermannRamon EstañaHeinz Wörn","2016","http://link.springer.com/chapter/10.1007/978-3-319-08338-4_80","Chapter"
"End-User Development Tools for the Smart Home: A Systematic Literature Review","Distributed, Ambient and Pervasive Interactions","","","","10.1007/978-3-319-39862-4_7","Daniela FogliRosa LanzilottiAntonio Piccinno","2016","http://link.springer.com/chapter/10.1007/978-3-319-39862-4_7","Chapter"
"5th International Symposium on Focused Ultrasound","Journal of Therapeutic Ultrasound","","4","1","10.1186/s40349-016-0076-5","Menashe ZaaroorAlon SinaiDorit GoldsherAyelet EranMaria NassarIlana SchlesingerJonathon ParkerVinod RavikumarPejman GhanouniSherman SteinCasey HalpernVibhor KrishnaAmelia HargrovePunit AgrawalBarbara ChangiziEric Bourekas","2016","http://link.springer.com/article/10.1186/s40349-016-0076-5","Article"
"Hybreed: A software framework for developing context-aware hybrid recommender systems","User Modeling and User-Adapted Interaction","","24","1 - 2","10.1007/s11257-012-9134-z","Tim HusseinTimm LinderWerner GaulkeJürgen Ziegler","2014","http://link.springer.com/article/10.1007/s11257-012-9134-z","Article"
"Towards a Trust Framework for Multi-User Virtual Environments","Computational Science and Its Applications – ICCSA 2014","","","","10.1007/978-3-319-09144-0_52","Rui Costa CardosoAbel Gomes","2014","http://link.springer.com/chapter/10.1007/978-3-319-09144-0_52","Chapter"
"WATCHiT: A Modular and Wearable Tool for Data Collection in Crisis Management and Training","Ambient Intelligence","","","","10.1007/978-3-319-14112-1_22","Simone MoraMonica Divitini","2014","http://link.springer.com/chapter/10.1007/978-3-319-14112-1_22","Chapter"
"ASTRO: Autism Support Therapy by RObot Interaction","Ambient Assisted Living","","","","10.1007/978-3-319-54283-6_23","Massimo PistoiaMarco PistoiaPaolo Casacci","2017","http://link.springer.com/chapter/10.1007/978-3-319-54283-6_23","Chapter"
"Low-power technologies for wearable telecare and telehealth systems: A review","Biomedical Engineering Letters","","5","1","10.1007/s13534-015-0174-2","Changhong WangWei LuMichael R. NarayananStephen J. RedmondNigel H. Lovell","2015","http://link.springer.com/article/10.1007/s13534-015-0174-2","Article"
"Building Context-Aware Gamified Apps by Using Ontologies as Unified Representation and Reasoning-Based Models","Serious Games and Edutainment Applications","","","","10.1007/978-3-319-51645-5_29","Maha KhemajaFélix Buendia","2017","http://link.springer.com/chapter/10.1007/978-3-319-51645-5_29","Chapter"
"Prototyping Distributed Physical User Interfaces in Ambient Intelligence Setups","Distributed, Ambient, and Pervasive Interactions","","","","10.1007/978-3-319-07788-8_8","Gervasio VarelaAlejandro Paz-LopezJose Antonio Becerra PermuyRichard J. Duro Fernandez","2014","http://link.springer.com/chapter/10.1007/978-3-319-07788-8_8","Chapter"
"SOM4R: a Middleware for Robotic Applications Based on the Resource-Oriented Architecture","Journal of Intelligent & Robotic Systems","","","","10.1007/s10846-017-0504-y","Marcus V. D. VelosoJosé Tarcísio C. FilhoGuilherme A. Barreto","2017","http://link.springer.com/article/10.1007/s10846-017-0504-y","Article"
"Persuasive software design patterns for social influence","Personal and Ubiquitous Computing","","18","7","10.1007/s00779-014-0778-z","Michael OduorTuomas AlahäiväläHarri Oinas-Kukkonen","2014","http://link.springer.com/article/10.1007/s00779-014-0778-z","Article"
"Instruction of Digital Human Models Through Interaction in Immersive Virtual Environments","HCI International 2016 – Posters' Extended Abstracts","","","","10.1007/978-3-319-40548-3_83","Andreas GeigerElisabeth BrandenburgRainer Stark","2016","http://link.springer.com/chapter/10.1007/978-3-319-40548-3_83","Chapter"
"Development and application of software for open and soft multi-axis EDM CNC systems","The International Journal of Advanced Manufacturing Technology","","86","9 - 12","10.1007/s00170-016-8353-6","Haipeng HuangGuanxin ChiZhenlong Wang","2016","http://link.springer.com/article/10.1007/s00170-016-8353-6","Article"
"Rotorcraft Pilot’s Associate","Modeling and Simulation in the Systems Engineering Life Cycle","","","","10.1007/978-1-4471-5634-5_25","Kendra Befort PhDBill Baker","2015","http://link.springer.com/chapter/10.1007/978-1-4471-5634-5_25","Chapter"
"A RGB-D based instant body-scanning solution for compact box installation","Advances on Mechanics, Design Engineering and Manufacturing","","","","10.1007/978-3-319-45781-9_82","Rocco FURFERILapo GOVERNIFrancesca UCCHEDDUYary VOLPE","2017","http://link.springer.com/chapter/10.1007/978-3-319-45781-9_82","Chapter"
"Introduction","Mashups","","","","10.1007/978-3-642-55049-2_1","Florian DanielMaristella Matera","2014","http://link.springer.com/chapter/10.1007/978-3-642-55049-2_1","Chapter"
"A framework to design 3D interaction assistance in constraints-based virtual environments","Virtual Reality","","18","3","10.1007/s10055-014-0247-z","Mouna EssabbahGuillaume BouyerSamir OtmaneMalik Mallem","2014","http://link.springer.com/article/10.1007/s10055-014-0247-z","Article"
"Display and Control Concepts for Multi-UAV Applications","Handbook of Unmanned Aerial Vehicles","","","","10.1007/978-90-481-9707-1_88","Gloria L. CalhounMark H. Draper","2015","http://link.springer.com/referenceworkentry/10.1007/978-90-481-9707-1_88","ReferenceWorkEntry"
"Service-Oriented Emergency Management Collaboration System Design","Digital Human Modeling. Applications in Health, Safety, Ergonomics and Risk Management","","","","10.1007/978-3-319-07725-3_64","Fang YouRi-Peng ZhangPing-Ting LiJian-Min Wang","2014","http://link.springer.com/chapter/10.1007/978-3-319-07725-3_64","Chapter"
"Applying Cognitive Work Analysis to a Synthetic Aperture Radar System","Engineering Psychology and Cognitive Ergonomics","","","","10.1007/978-3-319-07515-0_32","Kerstan ColeSusan Stevens-AdamsLaura McNamaraJohn Ganter","2014","http://link.springer.com/chapter/10.1007/978-3-319-07515-0_32","Chapter"
"A Reliable Open-Source System Architecture for the Fast Designing and Prototyping of Autonomous Multi-UAV Systems: Simulation and Experimentation","Journal of Intelligent & Robotic Systems","","84","1 - 4","10.1007/s10846-015-0288-x","Jose Luis Sanchez-LopezJesús PestanaPaloma de la PuentePascual Campoy","2016","http://link.springer.com/article/10.1007/s10846-015-0288-x","Article"
"Enhancing visitors’ experience in art museums using mobile technologies","Information Systems Frontiers","","16","2","10.1007/s10796-012-9345-1","R. TesorieroJ. A. GalludM. LozanoV. M. R. Penichet","2014","http://link.springer.com/article/10.1007/s10796-012-9345-1","Article"
"Standards and Safety Aspects for Medical Devices in the Field of Neurorehabilitation","Neurorehabilitation Technology","","","","10.1007/978-3-319-28603-7_13","Burkhard Zimmermann","2016","http://link.springer.com/chapter/10.1007/978-3-319-28603-7_13","Chapter"
"Affective-aware tutoring platform for interactive digital television","Multimedia Tools and Applications","","74","9","10.1007/s11042-013-1779-z","Sandra BaldassarriIsabelle HupontDavid AbadíaEva Cerezo","2015","http://link.springer.com/article/10.1007/s11042-013-1779-z","Article"
"Graphical Tools for Doctor-Patient Communication: An App Prototype Design in Children’s Pain Management","HCI International 2016 – Posters' Extended Abstracts","","","","10.1007/978-3-319-40542-1_52","Fang Suey LinChing-Yi LinYu Jie HsuehChun-Yi LeeChun-Pei Hsieh","2016","http://link.springer.com/chapter/10.1007/978-3-319-40542-1_52","Chapter"
"Software Engineering Knowledge Areas in Startup Companies: A Mapping Study","Software Business","","","","10.1007/978-3-319-19593-3_22","Eriks KlotinsMichael UnterkalmsteinerTony Gorschek","2015","http://link.springer.com/chapter/10.1007/978-3-319-19593-3_22","Chapter"
"Sentiment Analysis and Affective Computing: Methods and Applications","Brain-Inspired Computing","","","","10.1007/978-3-319-50862-7_13","Barbara CalabreseMario Cannataro","2016","http://link.springer.com/chapter/10.1007/978-3-319-50862-7_13","Chapter"
"A Multi-Layered Component-Based Approach for the Development of Aerial Robotic Systems: The Aerostack Framework","Journal of Intelligent & Robotic Systems","","","","10.1007/s10846-017-0551-4","Jose Luis Sanchez-LopezMartin MolinaHriday BavleCarlos SampedroRamón A. Suárez FernándezPascual Campoy","2017","http://link.springer.com/article/10.1007/s10846-017-0551-4","Article"
"Real-Time Implementation of an ISM Fault Tolerant Control Scheme on the SIMONA Flight Simulator","Fault Tolerant Control Schemes Using Integral Sliding Modes","","","","10.1007/978-3-319-32238-4_9","Mirza Tariq HamayunChristopher EdwardsHalim Alwi","2016","http://link.springer.com/chapter/10.1007/978-3-319-32238-4_9","Chapter"
"Sound image externalization for headphone based real-time 3D audio","Frontiers of Computer Science","","","","10.1007/s11704-016-6182-2","Yougen YuanLei XieZhong-Hua FuMing XuQi Cong","2017","http://link.springer.com/article/10.1007/s11704-016-6182-2","Article"
"Using Ambient Communication and Social Networking Technologies to Reduce Loneliness of Elders","Social Computing and Social Media","","","","10.1007/978-3-319-07632-4_9","Harri PensasAntti-Matti VainioMarkus GarschallTero KivimäkiStratis KonakasSocrates CosticoglouJukka Vanhala","2014","http://link.springer.com/chapter/10.1007/978-3-319-07632-4_9","Chapter"
"Abstracts","Annals of Behavioral Medicine","","49","1","10.1007/s12160-015-9688-1","","2015","http://link.springer.com/article/10.1007/s12160-015-9688-1","Article"
"Proposed Privacy Patterns for Privacy Preserving Healthcare Systems in Accord with Nova Scotia’s Personal Health Information Act","Human Aspects of Information Security, Privacy, and Trust","","","","10.1007/978-3-319-39381-0_9","Maha AljohaniKirstie HawkeyJames Blustein","2016","http://link.springer.com/chapter/10.1007/978-3-319-39381-0_9","Chapter"
"A classification of eLearning tools based on the applied multimedia","Multimedia Tools and Applications","","74","11","10.1007/s11042-013-1802-4","Zarko StanisavljevicBosko NikolicIgor TartaljaVeljko Milutinovic","2015","http://link.springer.com/article/10.1007/s11042-013-1802-4","Article"
"Context-based counselor agent for software development ecosystem","Computing","","97","1","10.1007/s00607-013-0352-y","Tetsuo ShinozakiYukiko YamamotoSetsuo Tsuruta","2015","http://link.springer.com/article/10.1007/s00607-013-0352-y","Article"
"Proposal of a Context-Aware Smart Home Ecosystem","Artificial Intelligence and Soft Computing","","","","10.1007/978-3-319-19369-4_37","Radosław KlimekGrzegorz Rogus","2015","http://link.springer.com/chapter/10.1007/978-3-319-19369-4_37","Chapter"
"Conclusion","Social Interaction, Globalization and Computer-Aided Analysis","","","","10.1007/978-1-4471-6260-5_8","Alexander Osherenko","2014","http://link.springer.com/chapter/10.1007/978-1-4471-6260-5_8","Chapter"
"Networked Music Performance","Wireless Networked Music Performance","","","","10.1007/978-981-10-0335-6_2","Leonardo GabrielliStefano Squartini","2016","http://link.springer.com/chapter/10.1007/978-981-10-0335-6_2","Chapter"
"Experiences in Applying Service Design to Digital Services","Product-Focused Software Process Improvement","","","","10.1007/978-3-319-13835-0_10","Stefanie HofemannMikko RaatikainenVarvana MyllärniemiTerho Norja","2014","http://link.springer.com/chapter/10.1007/978-3-319-13835-0_10","Chapter"
"Presentation Trainer: A Toolkit for Learning Non-verbal Public Speaking Skills","Open Learning and Teaching in Educational Communities","","","","10.1007/978-3-319-11200-8_56","Jan SchneiderDirk BörnerPeter van RosmalenMarcus Specht","2014","http://link.springer.com/chapter/10.1007/978-3-319-11200-8_56","Chapter"
"Introduction","Pervasive Social Computing","","","","10.1007/978-3-319-29951-8_1","Muhammad Ashad KabirJun HanAlan Colman","2016","http://link.springer.com/chapter/10.1007/978-3-319-29951-8_1","Chapter"
"Integrating Scrum and UCD: Insights from Two Case Studies","Integrating User-Centred Design in Agile Development","","","","10.1007/978-3-319-32165-3_4","Alvaro Aranda MuñozKarin Nilsson HelanderThijmen de GooijerMaria Ralph","2016","http://link.springer.com/chapter/10.1007/978-3-319-32165-3_4","Chapter"
"Quantifying Poka-Yoke in HQLS: A New Approach for High Quality in Large Scale Software Development","Emerging ICT for Bridging the Future - Proceedings of the 49th Annual Convention of the Computer Society of India (CSI) Volume 1","","","","10.1007/978-3-319-13728-5_33","K. K. BaseerA. Rama Mohan ReddyC. Shoba Bindu","2015","http://link.springer.com/chapter/10.1007/978-3-319-13728-5_33","Chapter"
"Textual Coherence in a Verse-Maker Robot","Human-Computer Systems Interaction: Backgrounds and Applications 3","","","","10.1007/978-3-319-08491-6_23","A. AstigarragaE. JauregiE. LazkanoM. Agirrezabal","2014","http://link.springer.com/chapter/10.1007/978-3-319-08491-6_23","Chapter"
"Research on IOT Technology Applied to Intelligent Agriculture","Proceedings of the 5th International Conference on Electrical Engineering and Automatic Control","","","","10.1007/978-3-662-48768-6_136","Juntao LiWeihua GuHang Yuan","2016","http://link.springer.com/chapter/10.1007/978-3-662-48768-6_136","Chapter"
"Cognition-Enhanced, Self-optimizing Production Networks","Integrative Production Technology","","","","10.1007/978-3-319-47452-6_8","Christopher SchlickVolker StichRobert SchmittGünther SchuhMartina ZiefleChristian BrecherMatthias BlumAlexander MertensMarco FaberSinem KuzHenning PetruckMarco FuhrmannMelanie LuckertFelix BrambringChristina ReuterNiklas Hering","2017","http://link.springer.com/chapter/10.1007/978-3-319-47452-6_8","Chapter"
"User-Oriented Requirements Engineering","Usability- and Accessibility-Focused Requirements Engineering","","","","10.1007/978-3-319-45916-5_2","Alistair Sutcliffe","2016","http://link.springer.com/chapter/10.1007/978-3-319-45916-5_2","Chapter"
"A Case Study on Implementation of an Audience Response System in the Fundamentals of Computer Science Course","Human-Computer Systems Interaction: Backgrounds and Applications 3","","","","10.1007/978-3-319-08491-6_11","L. Jackowska-StrumiłłoP. StrumiłłoJ. NowakowskiP. Tomczak","2014","http://link.springer.com/chapter/10.1007/978-3-319-08491-6_11","Chapter"
"Productpedia – A Collaborative Electronic Product Catalog for Ecommerce 3.0","HCI in Business","","","","10.1007/978-3-319-20895-4_34","Wee-Kek TanHock-Hai Teo","2015","http://link.springer.com/chapter/10.1007/978-3-319-20895-4_34","Chapter"
"A System’s Self-referential Persuasion: Understanding the Role of Persuasive User Experiences in Committing Social Web Users","Persuasive Technology","","","","10.1007/978-3-319-20306-5_22","Michael OduorHarri Oinas-Kukkonen","2015","http://link.springer.com/chapter/10.1007/978-3-319-20306-5_22","Chapter"
"Creating a family of collaborative applications for emergency management in the firefighting sub-domain","Information Systems Frontiers","","18","1","10.1007/s10796-015-9575-0","Pedro O. RosselValeria HerskovicErika Ormeño","2016","http://link.springer.com/article/10.1007/s10796-015-9575-0","Article"
"Intelligent Product and Mechatronic Software Components Facilitating Mass Customization in Collaborative Manufacturing Systems","Collaboration in a Hyperconnected World","","","","10.1007/978-3-319-45390-3_34","Majid SorouriValeriy Vyatkin","2016","http://link.springer.com/chapter/10.1007/978-3-319-45390-3_34","Chapter"
"Improving Software Quality Using an Ontology-Based Approach","On the Move to Meaningful Internet Systems: OTM 2015 Workshops","","","","10.1007/978-3-319-26138-6_49","Simona MotognaIoana CiuciuCamelia SerbanAndreea Vescan","2015","http://link.springer.com/chapter/10.1007/978-3-319-26138-6_49","Chapter"
"The impact of SOA on a system design for a telemedicine healthcare system","Network Modeling Analysis in Health Informatics and Bioinformatics","","4","1","10.1007/s13721-015-0087-0","Asadullah Shaikh","2015","http://link.springer.com/article/10.1007/s13721-015-0087-0","Article"
"An Approach to Creating a Personified Job Description of a Designer in Designing a Family of Software Intensive Systems","Computational Science and Its Applications – ICCSA 2014","","","","10.1007/978-3-319-09156-3_4","Petr SosninAndrey Pertsev","2014","http://link.springer.com/chapter/10.1007/978-3-319-09156-3_4","Chapter"
"The Notion of Self-aware Computing","Self-Aware Computing Systems","","","","10.1007/978-3-319-47474-8_1","Samuel KounevPeter LewisKirstie L. BellmanNelly BencomoJavier CamaraAda DiaconescuLukas EsterleKurt GeihsHolger GieseSebastian GötzPaola InverardiJeffrey O. KephartAndrea Zisman","2017","http://link.springer.com/chapter/10.1007/978-3-319-47474-8_1","Chapter"
"A systematic approach to evaluating domain-specific modeling language environments for multi-agent systems","Software Quality Journal","","24","3","10.1007/s11219-015-9291-5","Moharram ChallengerGeylani KardasBedir Tekinerdogan","2016","http://link.springer.com/article/10.1007/s11219-015-9291-5","Article"
"Ambient Intelligence: A New Computing Paradigm and a Vision of a Next Wave in ICT","The Human Face of Ambient Intelligence","","","","10.2991/978-94-6239-130-7_2","Simon Elias Bibri","2015","http://link.springer.com/chapter/10.2991/978-94-6239-130-7_2","Chapter"
"Can People With High Physical Movement Restrictions Access to Any Computer? The CaNWII Tool","Mathematical Methods in Engineering","","","","10.1007/978-94-007-7183-3_26","N. RodriguesN. MartinsJ. Barbosa","2014","http://link.springer.com/chapter/10.1007/978-94-007-7183-3_26","Chapter"
"Social Media Applications for Knowledge Exchange in Organizations","Innovations in Knowledge Management","","","","10.1007/978-3-662-47827-1_7","André Calero ValdezAnne Kathrin SchaarJens BenderSusanne AghassiGünther SchuhMartina Ziefle","2016","http://link.springer.com/chapter/10.1007/978-3-662-47827-1_7","Chapter"
"A novel gear machining CNC design and experimental research","The International Journal of Advanced Manufacturing Technology","","88","5 - 8","10.1007/s00170-016-8883-y","Jiang HanLulu WuBin YuanXiaoqing TianLian Xia","2017","http://link.springer.com/article/10.1007/s00170-016-8883-y","Article"
"Cloud-Based Design and Manufacturing: Status and Promise","Cloud-Based Design and Manufacturing (CBDM)","","","","10.1007/978-3-319-07398-9_1","Dazhong WuDavid W. RosenDirk Schaefer","2014","http://link.springer.com/chapter/10.1007/978-3-319-07398-9_1","Chapter"
"The Testing Stand of the Direct Linear and the Torque Servo Drives Siemens Controlled by the Simotion C","Advances in Mechanism Design II","","","","10.1007/978-3-319-44087-3_48","J. Antoš","2017","http://link.springer.com/chapter/10.1007/978-3-319-44087-3_48","Chapter"
"A Software Development Story","Software Developers as Users","","","","10.1007/978-3-319-42831-4_2","Clarisse Sieckenius de SouzaRenato Fontoura de Gusmão CerqueiraLuiz Marques AfonsoRafael Rossi de Mello BrandãoJuliana Soares Jansen Ferreira","2016","http://link.springer.com/chapter/10.1007/978-3-319-42831-4_2","Chapter"
"Behavioural Economics and Minority Language e-Services—The Case of Welsh","Sociolinguistics in Wales","","","","10.1057/978-1-137-52897-1_3","Jeremy EvasDaniel Cunliffe","2016","http://link.springer.com/chapter/10.1057/978-1-137-52897-1_3","Chapter"
"Towards a Generic Approach for the Management and the Assessment of Cooperative Work","New Trends in Databases and Information Systems","","","","10.1007/978-3-319-23201-0_15","Amina CherouanaAmina AouineAbdelaziz KhadraouiLatifa Mahdaoui","2015","http://link.springer.com/chapter/10.1007/978-3-319-23201-0_15","Chapter"
"Layer-Based Multi-Sensor Fusion Architecture for Cooperative and Automated Driving Application Development","Advanced Microsystems for Automotive Applications 2014","","","","10.1007/978-3-319-08087-1_3","Maurice KwakkernaatTjerk BijlsmaFrank Ophelders","2014","http://link.springer.com/chapter/10.1007/978-3-319-08087-1_3","Chapter"
"You Talk! – YOU vs AUTISM","Computers Helping People with Special Needs","","","","10.1007/978-3-319-08596-8_79","Alessandro SignorePanagiota BalasiTangming Yuan","2014","http://link.springer.com/chapter/10.1007/978-3-319-08596-8_79","Chapter"
"HyPSim: A Simulation Tool for Hybrid Aircraft Performance Analysis","Variational Analysis and Aerospace Engineering","","","","10.1007/978-3-319-45680-5_4","Vittorio CipollaFabrizio Oliviero","2016","http://link.springer.com/chapter/10.1007/978-3-319-45680-5_4","Chapter"
"Virtual reality training system for maintenance and operation of high-voltage overhead power lines","Virtual Reality","","20","1","10.1007/s10055-015-0280-6","Andrés Ayala GarcíaIsrael Galván BobadillaGustavo Arroyo FigueroaMiguel Pérez RamírezJavier Muñoz Román","2016","http://link.springer.com/article/10.1007/s10055-015-0280-6","Article"
"Developing self-adaptive automotive systems","Design Automation for Embedded Systems","","18","3 - 4","10.1007/s10617-013-9124-3","Marco WagnerAnsgar MerothDieter Zöbel","2014","http://link.springer.com/article/10.1007/s10617-013-9124-3","Article"
